Company,Location_HQ,Industry,Laid_Off_Count,Date,Source,Funds_Raised,Stage,Date_Added,Country,Percentage,List_of_Employees_Laid_Off
Oda,Oslo,Food,150,2024-06-05,https://techcrunch.com/2024/06/05/softbank-backed-grocery-startup-oda-lays-off-150-resets-focus-on-norway-and-sweden/,691.0,Unknown,2024-06-05 18:01:25,Norway,,Unknown
Pagaya,Tel Aviv,Finance,100,2024-06-05,https://www.calcalistech.com/ctechnews/article/h19floaec,2000.0,Post-IPO,2024-06-05 23:11:24,Israel,0.2,Unknown
Aleph Farms,Tel Aviv,Food,30,2024-06-05,https://www.calcalistech.com/ctechnews/article/hkdwxv0na,119.0,Unknown,2024-06-05 23:13:43,Israel,0.3,Unknown
MoonPay,Dover,Crypto,30,2024-06-05,https://www.theblock.co/post/298638/moonpay-lays-off-10-staff,651.0,Unknown,2024-06-05 23:12:47,United States,0.1,Unknown
Yext,New York City,Marketing,,2024-06-05,https://www.investing.com/news/economy-news/yext-announces-12-workforce-reduction-to-boost-profitability-93CH-3471417,117.0,Post-IPO,2024-06-05 18:02:40,United States,0.12,Unknown
Microsoft,Seattle,Other,1000,2024-06-03,https://www.theverge.com/2024/6/3/24170902/microsoft-hololens-2-mixed-reality-azure-layoffs,1.0,Post-IPO,2024-06-03 20:27:12,United States,,Unknown
OrCam,Jerusalem,Healthcare,100,2024-06-03,https://www.calcalistech.com/ctechnews/article/skd15oj4a,86.0,Unknown,2024-06-04 03:47:34,Israel,0.5,Unknown
Google,SF Bay Area,Consumer,100,2024-05-31,https://www.businessinsider.com/google-cloud-layoffs-job-cuts-employees-globally-2024-5,26.0,Post-IPO,2024-06-01 18:35:17,United States,,Unknown
Tropic,New York City,Finance,40,2024-05-31,https://www.linkedin.com/feed/update/urn:li:activity:7202356908194758657/,67.0,Series B,2024-06-01 18:33:50,United States,,Unknown
Gro Intelligence,New York City,Food,,2024-05-31,https://agfundernews.com/breaking-ag-insights-platform-gro-intelligence-is-closing-down,118.0,Series B,2024-06-03 14:55:46,United States,0.1,Unknown
Jasper Health,Boise,Healthcare,,2024-05-31,https://techcrunch.com/2024/05/31/general-catalyst-backed-jasper-health-lays-off-staff/,32.0,Series A,2024-06-01 18:33:03,United States,,Unknown
FlightStats,Portland,Travel,73,2024-05-30,https://www.oregonlive.com/silicon-forest/2024/05/flight-tracking-company-cirium-will-lay-off-37-portland-tech-workers.html,3.0,Acquired,2024-05-31 10:51:22,United States,,Unknown
ICANN,Los Angeles,Infrastructure,33,2024-05-30,https://www.icann.org/en/blogs/details/organizational-changes-to-ensure-icanns-financial-stability-and-sustainability-30-05-2024-en,,Unknown,2024-06-05 18:07:23,United States,0.07,Unknown
Walnut,New York City,Sales,15,2024-05-29,https://www.calcalistech.com/ctechnews/article/hj71t1b4r,56.0,Series B,2024-05-31 10:49:24,United States,0.2,Unknown
Fisker,Los Angeles,Transportation,,2024-05-29,https://techcrunch.com/2024/05/29/fisker-layoffs-workers-restructuring-bankruptcy/,1700.0,Post-IPO,2024-05-31 10:52:41,United States,,Unknown
Funding Circle,London,Finance,,2024-05-29,https://markets.ft.com/data/announce/detail?dockey=600-202405290435DGAP____UKPR_____UK_Regulatory_1913105-1,746.0,Post-IPO,2024-06-03 14:58:56,United Kingdom,,Unknown
Lucid Motors,SF Bay Area,Transportation,400,2024-05-24,https://electrek.co/2024/05/24/lucid-lcid-cuts-us-workforce-by-6-ahead-gravity-ev-launch/,8300.0,Post-IPO,2024-05-24 15:47:21,United States,0.06,Unknown
Foursquare,New York City,Marketing,105,2024-05-23,https://techcrunch.com/2024/05/23/foursquare-just-laid-off-105-employees/,390.0,Series G,2024-05-24 15:46:13,United States,0.25,Unknown
Guild,Denver,Education,300,2024-05-22,https://www.denverpost.com/2024/05/22/education-tech-guild-layoffs/,643.0,Series F,2024-05-23 02:17:46,United States,0.25,Unknown
Cue Health,San Diego,Healthcare,180,2024-05-22,https://www.fiercebiotech.com/medtech/home-covid-testmaker-cue-health-shut-down-operations-lay-staff-report,899.0,Post-IPO,2024-05-23 04:11:46,United States,1.0,Unknown
Silo,SF Bay Area,Food,,2024-05-22,https://techcrunch.com/2024/05/22/food-supply-chain-software-maker-silo-lays-off-30-of-staff-amid-ma-discussions/,272.0,Series C,2024-05-23 14:54:21,United States,0.3,Unknown
Joonko,New York City,HR,,2024-05-19,https://www.calcalistech.com/ctechnews/article/sk81p8pma,38.0,Series B,2024-05-23 02:16:59,United States,1.0,Unknown
Toshiba,Tokyo,Manufacturing,4000,2024-05-16,https://www.reuters.com/technology/newly-privatised-toshiba-cut-4000-jobs-restructuring-drive-2024-05-16/,,Unknown,2024-05-24 15:48:21,Japan,,Unknown
Wefox,Berlin,Finance,60,2024-05-16,https://news.sky.com/story/insurance-unicorn-wefox-warns-investors-of-insolvency-risk-13137125,1300.0,Series D,2024-05-17 19:30:39,Germany,,Unknown
